area,year,total permits
"Abilene, TX",2007,293
"Abilene, TX",2008,196
"Abilene, TX",2009,214
"Abilene, TX",2010,390
"Abilene, TX",2011,159
"Abilene, TX",2012,455
"Abilene, TX",2013,306
"Abilene, TX",2014,284
"Abilene, TX",2015,535
"Abilene, TX",2016,306
"Abilene, TX",2017,322
"Amarillo, TX",2007,1316
"Amarillo, TX",2008,768
"Amarillo, TX",2009,645
"Amarillo, TX",2010,931
"Amarillo, TX",2011,704
"Amarillo, TX",2012,1630
"Amarillo, TX",2013,898
"Amarillo, TX",2014,918
"Amarillo, TX",2015,880
"Amarillo, TX",2016,740
"Amarillo, TX",2017,775
"Austin-Round Rock, TX",2007,19903
"Austin-Round Rock, TX",2008,11792
"Austin-Round Rock, TX",2009,8758
"Austin-Round Rock, TX",2010,8786
"Austin-Round Rock, TX",2011,10239
"Austin-Round Rock, TX",2012,19595
"Austin-Round Rock, TX",2013,20865
"Austin-Round Rock, TX",2014,20276
"Austin-Round Rock, TX",2015,22370
"Austin-Round Rock, TX",2016,21861
"Austin-Round Rock, TX",2017,26700
"Beaumont-Port Arthur, TX",2007,2288
"Beaumont-Port Arthur, TX",2008,2248
"Beaumont-Port Arthur, TX",2009,2129
"Beaumont-Port Arthur, TX",2010,1424
"Beaumont-Port Arthur, TX",2011,1551
"Beaumont-Port Arthur, TX",2012,1354
"Beaumont-Port Arthur, TX",2013,735
"Beaumont-Port Arthur, TX",2014,1797
"Beaumont-Port Arthur, TX",2015,1132
"Beaumont-Port Arthur, TX",2016,1094
"Beaumont-Port Arthur, TX",2017,1302
"Brownsville-Harlingen, TX",2007,2091
"Brownsville-Harlingen, TX",2008,1306
"Brownsville-Harlingen, TX",2009,1105
"Brownsville-Harlingen, TX",2010,1258
"Brownsville-Harlingen, TX",2011,1136
"Brownsville-Harlingen, TX",2012,1154
"Brownsville-Harlingen, TX",2013,1263
"Brownsville-Harlingen, TX",2014,1417
"Brownsville-Harlingen, TX",2015,1285
"Brownsville-Harlingen, TX",2016,1569
"Brownsville-Harlingen, TX",2017,1245
"College Station-Bryan, TX",2007,1927
"College Station-Bryan, TX",2008,2158
"College Station-Bryan, TX",2009,836
"College Station-Bryan, TX",2010,995
"College Station-Bryan, TX",2011,1444
"College Station-Bryan, TX",2012,2020
"College Station-Bryan, TX",2013,1676
"College Station-Bryan, TX",2014,1845
"College Station-Bryan, TX",2015,1712
"College Station-Bryan, TX",2016,2860
"College Station-Bryan, TX",2017,3083
"Corpus Christi, TX",2007,2017
"Corpus Christi, TX",2008,1603
"Corpus Christi, TX",2009,1150
"Corpus Christi, TX",2010,1225
"Corpus Christi, TX",2011,1142
"Corpus Christi, TX",2012,1496
"Corpus Christi, TX",2013,2496
"Corpus Christi, TX",2014,2864
"Corpus Christi, TX",2015,2153
"Corpus Christi, TX",2016,1910
"Corpus Christi, TX",2017,1186
"Dallas-Fort Worth-Arlington, TX",2007,45290
"Dallas-Fort Worth-Arlington, TX",2008,37765
"Dallas-Fort Worth-Arlington, TX",2009,21511
"Dallas-Fort Worth-Arlington, TX",2010,20727
"Dallas-Fort Worth-Arlington, TX",2011,26470
"Dallas-Fort Worth-Arlington, TX",2012,37501
"Dallas-Fort Worth-Arlington, TX",2013,40364
"Dallas-Fort Worth-Arlington, TX",2014,43994
"Dallas-Fort Worth-Arlington, TX",2015,57146
"Dallas-Fort Worth-Arlington, TX",2016,55800
"Dallas-Fort Worth-Arlington, TX",2017,62524
"El Paso, TX",2007,4379
"El Paso, TX",2008,3981
"El Paso, TX",2009,3191
"El Paso, TX",2010,4549
"El Paso, TX",2011,4153
"El Paso, TX",2012,4355
"El Paso, TX",2013,4097
"El Paso, TX",2014,3043
"El Paso, TX",2015,4491
"El Paso, TX",2016,3054
"El Paso, TX",2017,3277
"Houston-The Woodlands-Sugar Land, TX",2007,63274
"Houston-The Woodlands-Sugar Land, TX",2008,42724
"Houston-The Woodlands-Sugar Land, TX",2009,27326
"Houston-The Woodlands-Sugar Land, TX",2010,27450
"Houston-The Woodlands-Sugar Land, TX",2011,31269
"Houston-The Woodlands-Sugar Land, TX",2012,43286
"Houston-The Woodlands-Sugar Land, TX",2013,51334
"Houston-The Woodlands-Sugar Land, TX",2014,63745
"Houston-The Woodlands-Sugar Land, TX",2015,56901
"Houston-The Woodlands-Sugar Land, TX",2016,44732
"Houston-The Woodlands-Sugar Land, TX",2017,42395
"Killeen-Temple, TX",2007,3209
"Killeen-Temple, TX",2008,2403
"Killeen-Temple, TX",2009,2340
"Killeen-Temple, TX",2010,2241
"Killeen-Temple, TX",2011,2208
"Killeen-Temple, TX",2012,2647
"Killeen-Temple, TX",2013,2454
"Killeen-Temple, TX",2014,2373
"Killeen-Temple, TX",2015,2310
"Killeen-Temple, TX",2016,2328
"Killeen-Temple, TX",2017,2456
"Laredo, TX",2007,1581
"Laredo, TX",2008,1087
"Laredo, TX",2009,786
"Laredo, TX",2010,663
"Laredo, TX",2011,956
"Laredo, TX",2012,1506
"Laredo, TX",2013,1623
"Laredo, TX",2014,1719
"Laredo, TX",2015,1848
"Laredo, TX",2016,1158
"Laredo, TX",2017,1331
"Longview, TX",2007,381
"Longview, TX",2008,275
"Longview, TX",2009,199
"Longview, TX",2010,491
"Longview, TX",2011,477
"Longview, TX",2012,695
"Longview, TX",2013,789
"Longview, TX",2014,290
"Longview, TX",2015,248
"Longview, TX",2016,164
"Longview, TX",2017,187
"Lubbock, TX",2007,1281
"Lubbock, TX",2008,1508
"Lubbock, TX",2009,1035
"Lubbock, TX",2010,1452
"Lubbock, TX",2011,1510
"Lubbock, TX",2012,1471
"Lubbock, TX",2013,2048
"Lubbock, TX",2014,2136
"Lubbock, TX",2015,1856
"Lubbock, TX",2016,2648
"Lubbock, TX",2017,2388
"McAllen-Edinburg-Mission, TX",2007,6468
"McAllen-Edinburg-Mission, TX",2008,3701
"McAllen-Edinburg-Mission, TX",2009,3165
"McAllen-Edinburg-Mission, TX",2010,3557
"McAllen-Edinburg-Mission, TX",2011,3114
"McAllen-Edinburg-Mission, TX",2012,3529
"McAllen-Edinburg-Mission, TX",2013,3321
"McAllen-Edinburg-Mission, TX",2014,3504
"McAllen-Edinburg-Mission, TX",2015,4306
"McAllen-Edinburg-Mission, TX",2016,4568
"McAllen-Edinburg-Mission, TX",2017,4297
"Midland, TX",2007,514
"Midland, TX",2008,483
"Midland, TX",2009,331
"Midland, TX",2010,403
"Midland, TX",2011,541
"Midland, TX",2012,1013
"Midland, TX",2013,1825
"Midland, TX",2014,1556
"Midland, TX",2015,1030
"Midland, TX",2016,676
"Midland, TX",2017,766
"Odessa, TX",2007,439
"Odessa, TX",2008,716
"Odessa, TX",2009,220
"Odessa, TX",2010,708
"Odessa, TX",2011,740
"Odessa, TX",2012,1009
"Odessa, TX",2013,1290
"Odessa, TX",2014,556
"Odessa, TX",2015,612
"Odessa, TX",2016,448
"Odessa, TX",2017,492
"San Angelo, TX",2007,356
"San Angelo, TX",2008,259
"San Angelo, TX",2009,516
"San Angelo, TX",2010,177
"San Angelo, TX",2011,145
"San Angelo, TX",2012,405
"San Angelo, TX",2013,526
"San Angelo, TX",2014,629
"San Angelo, TX",2015,236
"San Angelo, TX",2016,172
"San Angelo, TX",2017,197
"San Antonio-New Braunfels, TX",2007,13295
"San Antonio-New Braunfels, TX",2008,10574
"San Antonio-New Braunfels, TX",2009,5924
"San Antonio-New Braunfels, TX",2010,6865
"San Antonio-New Braunfels, TX",2011,7127
"San Antonio-New Braunfels, TX",2012,8005
"San Antonio-New Braunfels, TX",2013,6129
"San Antonio-New Braunfels, TX",2014,10334
"San Antonio-New Braunfels, TX",2015,7824
"San Antonio-New Braunfels, TX",2016,12241
"San Antonio-New Braunfels, TX",2017,12516
"Sherman-Denison, TX",2007,518
"Sherman-Denison, TX",2008,203
"Sherman-Denison, TX",2009,113
"Sherman-Denison, TX",2010,327
"Sherman-Denison, TX",2011,76
"Sherman-Denison, TX",2012,77
"Sherman-Denison, TX",2013,363
"Sherman-Denison, TX",2014,271
"Sherman-Denison, TX",2015,340
"Sherman-Denison, TX",2016,730
"Sherman-Denison, TX",2017,843
"Texarkana, TX-AR",2007,444
"Texarkana, TX-AR",2008,159
"Texarkana, TX-AR",2009,303
"Texarkana, TX-AR",2010,240
"Texarkana, TX-AR",2011,370
"Texarkana, TX-AR",2012,226
"Texarkana, TX-AR",2013,132
"Texarkana, TX-AR",2014,139
"Texarkana, TX-AR",2015,333
"Texarkana, TX-AR",2016,129
"Texarkana, TX-AR",2017,185
"Tyler, TX",2007,462
"Tyler, TX",2008,347
"Tyler, TX",2009,209
"Tyler, TX",2010,266
"Tyler, TX",2011,262
"Tyler, TX",2012,353
"Tyler, TX",2013,379
"Tyler, TX",2014,397
"Tyler, TX",2015,470
"Tyler, TX",2016,581
"Tyler, TX",2017,678
"Victoria, TX",2007,103
"Victoria, TX",2008,59
"Victoria, TX",2009,46
"Victoria, TX",2010,47
"Victoria, TX",2011,83
"Victoria, TX",2012,143
"Victoria, TX",2013,466
"Victoria, TX",2014,835
"Victoria, TX",2015,139
"Victoria, TX",2016,65
"Victoria, TX",2017,61
"Waco, TX",2007,1076
"Waco, TX",2008,858
"Waco, TX",2009,678
"Waco, TX",2010,607
"Waco, TX",2011,525
"Waco, TX",2012,684
"Waco, TX",2013,687
"Waco, TX",2014,1473
"Waco, TX",2015,1507
"Waco, TX",2016,1765
"Waco, TX",2017,1007
"Wichita Falls, TX",2007,766
"Wichita Falls, TX",2008,162
"Wichita Falls, TX",2009,208
"Wichita Falls, TX",2010,187
"Wichita Falls, TX",2011,170
"Wichita Falls, TX",2012,269
"Wichita Falls, TX",2013,217
"Wichita Falls, TX",2014,157
"Wichita Falls, TX",2015,80
"Wichita Falls, TX",2016,226
"Wichita Falls, TX",2017,119
